         208936 function calls (208434 primitive calls) in 58.987 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      500    0.009    0.000    0.090    0.000 interpreter.py:385(set_tensor)
     1000    0.009    0.000    0.042    0.000 interpreter.py:428(get_tensor)
      500    0.007    0.000   26.481    0.053 interpreter.py:493(invoke)
      500    0.004    0.000   26.468    0.053 interpreter_wrapper.py:117(Invoke)
      500    0.004    0.000    0.081    0.000 interpreter_wrapper.py:147(SetTensor)
     1000    0.005    0.000    0.033    0.000 interpreter_wrapper.py:150(GetTensor)
        1    0.000    0.000    0.002    0.002 linecache.py:15(getline)
        1    0.000    0.000    0.002    0.002 linecache.py:37(getlines)
        1    0.000    0.000    0.002    0.002 linecache.py:82(updatecache)
        1    0.000    0.000    0.016    0.016 mimetypes.py:196(read)
        1    0.009    0.009    0.016    0.016 mimetypes.py:207(readfp)
        3    0.000    0.000    0.018    0.006 mimetypes.py:327(add_type)
        1    0.000    0.000    0.018    0.018 mimetypes.py:344(init)
        1    0.000    0.000    0.001    0.001 mimetypes.py:66(__init__)
      709    0.003    0.000    0.004    0.000 mimetypes.py:80(add_type)
     1004    0.001    0.000    0.001    0.000 mmalobj.py:1004(_get_opaque_subformat)
     1009    0.002    0.000    0.002    0.000 mmalobj.py:1006(_set_opaque_subformat)
     1502    0.012    0.000    0.012    0.000 mmalobj.py:1032(_set_format)
     1005    0.030    0.000    0.391    0.000 mmalobj.py:1050(supported_formats)
     1004    0.060    0.000    0.060    0.000 mmalobj.py:1073(<listcomp>)
     1003    0.020    0.000    0.022    0.000 mmalobj.py:1094(copy_from)
     2011    0.568    0.000    0.618    0.000 mmalobj.py:1104(commit)
     1000    0.048    0.000    0.125    0.000 mmalobj.py:1144(send_buffer)
     1004    0.002    0.000    0.002    0.000 mmalobj.py:1183(_get_buffer_count)
     1004    0.003    0.000    0.003    0.000 mmalobj.py:1185(_set_buffer_count)
     1004    0.002    0.000    0.002    0.000 mmalobj.py:1195(_get_buffer_size)
     1004    0.003    0.000    0.003    0.000 mmalobj.py:1197(_set_buffer_size)
      500    1.386    0.003    1.532    0.003 mmalobj.py:1208(enable)
      500    0.014    0.000    0.135    0.000 mmalobj.py:1219(wrapper)
     1509    0.016    0.000    0.312    0.000 mmalobj.py:1263(disable)
     3013    0.004    0.000    0.004    0.000 mmalobj.py:1273(connection)
 1004/502    0.018    0.000    1.124    0.002 mmalobj.py:1283(connect)
     1002    0.010    0.000    0.340    0.000 mmalobj.py:1306(disconnect)
        8    0.000    0.000    0.000    0.000 mmalobj.py:1329(_get_framesize)
      506    0.020    0.000    0.048    0.000 mmalobj.py:1334(_set_framesize)
        7    0.000    0.000    0.000    0.000 mmalobj.py:1350(_get_framerate)
        6    0.000    0.000    0.000    0.000 mmalobj.py:1359(_set_framerate)
     1513    0.008    0.000    0.008    0.000 mmalobj.py:1421(__init__)
     1023    0.276    0.000    0.284    0.000 mmalobj.py:1425(__getitem__)
        3    0.000    0.000    0.000    0.000 mmalobj.py:1442(<lambda>)
     1018    0.001    0.000    0.001    0.000 mmalobj.py:1445(<lambda>)
     1031    0.392    0.000    0.399    0.000 mmalobj.py:1468(__setitem__)
